run_id,label,status,fate,seed,m,s,f,k,p,W,pred,osc,comp,ctrl,ticks,events,flight,front,height,max_width,d_front,d_span,d_s,D_causal,transient,hold,c1_target,c1b_decade,c2_stat,c3_spec,c4_caus
camp-triadic-W_32-6217e11e0f,camp-triadic-W_32,stalled,gel,vee,32,12,3,3,3,32,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-triadic-W_4-b3c36fc265,camp-triadic-W_4,stalled,gel,vee,32,12,3,3,3,4,hamming,rot_birth,fold_rot_xor,,4150,19,7,3,13,2,,,,0.9502206301924744,,,False,False,False,False,False
camp-triadic-W_64-c1770364a1,camp-triadic-W_64,stalled,gel,vee,32,12,3,3,3,64,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-triadic-W_8-c6e0671acb,camp-triadic-W_8,stalled,gel,vee,32,12,3,3,3,8,hamming,rot_birth,fold_rot_xor,,4204,26,8,6,19,2,,0.0,1.4111954329844494,0.9725630728634549,,,False,False,False,False,False
camp-triadic-compose_rule_fold_mul_add-c08cc59b0f,camp-triadic-compose_rule_fold_mul_add,stalled,gel,vee,32,12,3,3,3,16,hamming,rot_birth,fold_mul_add,,4161,14,9,5,11,2,,0.0,1.9220559022889496e-15,0.8626850578980791,,,False,False,False,False,False
camp-triadic-compose_rule_fold_rot_xor-efe3639e5d,camp-triadic-compose_rule_fold_rot_xor,stalled,gel,vee,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-triadic-ctrl_no_causality-acf6a5c270,camp-triadic-ctrl_no_causality,stalled,gel,vee,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,no_caus,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-triadic-ctrl_p_inf-64c1b04783,camp-triadic-ctrl_p_inf,stalled,gel,vee,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,p_inf,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-triadic-ctrl_trivial-b468eae066,camp-triadic-ctrl_trivial,completed,soutenu,vee,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,trivial,20000,40003,9,3,20001,2,,,,1.0231264766317412,,,False,False,False,False,False
camp-triadic-f_2-e69fa001c8,camp-triadic-f_2,stalled,gel,vee,32,12,2,3,3,16,hamming,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-triadic-f_3-efe3639e5d,camp-triadic-f_3,stalled,gel,vee,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-triadic-f_4-18a330957d,camp-triadic-f_4,candidate_explosion,explosion,vee,32,12,4,3,3,16,hamming,rot_birth,fold_rot_xor,,41,3166,3175,802,30,778,,0.0,0.9667864172845896,1.602123992804487,,,False,False,False,False,False
camp-triadic-k_2-153afa9595,camp-triadic-k_2,candidate_explosion,explosion,vee,32,12,3,2,3,16,hamming,rot_birth,fold_rot_xor,,21,10382,10388,3473,21,3429,1.0542875164750956,2.0,1.0951264773265035,2.539828062988517,,,False,False,False,True,False
camp-triadic-k_3-efe3639e5d,camp-triadic-k_3,stalled,gel,vee,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-triadic-m_16-a5228b62a8,camp-triadic-m_16,completed,soutenu,vee,16,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,20000,40604,9,3,20001,3,,,,1.0284280657506153,,,False,False,False,False,False
camp-triadic-m_24-951c073a96,camp-triadic-m_24,completed,soutenu,vee,24,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,20000,41404,9,4,19074,3,,0.0,,1.03484637861207,,,False,False,False,False,False
camp-triadic-m_32-efe3639e5d,camp-triadic-m_32,stalled,gel,vee,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-triadic-m_48-740c3f3a67,camp-triadic-m_48,stalled,gel,vee,48,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4097,3,9,3,1,2,,,,,,,False,False,False,False,False
camp-triadic-m_64-83db4a0f07,camp-triadic-m_64,stalled,gel,vee,64,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4097,3,9,3,1,2,,,,,,,False,False,False,False,False
camp-triadic-osc_rule_rot1_xor-49fc5de48f,camp-triadic-osc_rule_rot1_xor,stalled,gel,vee,32,12,3,3,3,16,hamming,rot1_xor,fold_rot_xor,,9054,838,8,5,646,3,,0.0,1.9220559022889496e-15,0.9815080514530202,,,False,False,False,False,False
camp-triadic-osc_rule_rot_birth-efe3639e5d,camp-triadic-osc_rule_rot_birth,stalled,gel,vee,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-triadic-p_1-47fc02ffb4,camp-triadic-p_1,stalled,gel,vee,32,12,3,3,1,16,hamming,rot_birth,fold_rot_xor,,4126,7,9,4,5,2,,0.0,,,,,False,False,False,False,False
camp-triadic-p_2-5549253d52,camp-triadic-p_2,stalled,gel,vee,32,12,3,3,2,16,hamming,rot_birth,fold_rot_xor,,4204,26,9,7,19,2,,0.0,1.5081520604025562,0.9725630728634549,,,False,False,False,False,False
camp-triadic-p_3-efe3639e5d,camp-triadic-p_3,stalled,gel,vee,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-triadic-p_4-4e5c92afa9,camp-triadic-p_4,stalled,gel,vee,32,12,3,3,4,16,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-triadic-p_5-5c62244555,camp-triadic-p_5,stalled,gel,vee,32,12,3,3,5,16,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-triadic-predicate_block_zero-3e35063ed1,camp-triadic-predicate_block_zero,stalled,gel,vee,32,12,3,3,3,16,block_zero,rot_birth,fold_rot_xor,,4097,3,9,3,1,2,,,,,,,False,False,False,False,False
camp-triadic-predicate_hamming-efe3639e5d,camp-triadic-predicate_hamming,stalled,gel,vee,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-triadic-s_10-ebb4027279,camp-triadic-s_10,stalled,gel,vee,32,10,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4097,3,9,3,1,2,,,,,,,False,False,False,False,False
camp-triadic-s_12-efe3639e5d,camp-triadic-s_12,stalled,gel,vee,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
